Gene,DN1,DN2,DN3a,DN3b,DN4
Bcl11b,3.595489354,5.453846693,5.811580481,5.520747558,5.389733365
CD3e,3.2553,6.7076,7.2041,6.8261,5.86850048886714
CD3g,3.8976,7.3222,7.4771,7.0414,6.93919195187242
C/EBPa,3.581551674,3.1578462,1.906242532,2.545517457,3.302798073
Erg,6.50381859,5.671274502,5.445484085,4.237551815,3.431953908
Etv6,6.980487248,6.068962973,6.068962973,5.617382139,5.4492008
Gata2,4.872180846,4.03824299,3.60617380917433,2.92880069985473,3.589914282
HEBalt,3.595489354,5.182526522,5.686141361,5.091467012,4.440112765
Ikzf3,4.910277172,3.284679089,5.018061897,5.55419799,6.28731996
IL2Rb,4.7243,2.1139,3,4.2553,1.59147198253922
Lck,6.1139,6.959,7.5441,7.0414,6.31145439693561
pTa,3.7243,5.959,7.3424,6.3802,4.40628992780065
Mitf,3.609427034,4.306311036,4.861959881,4.115829409,4.051716081
Rag1,5.5315,6.5563,7.7993,6.8633,5.63333329849098
Scl,4.996,4.519,2.301,1.477,0.845
Sfpi1,6.407184009,5.91750685,4.563693528,3.991319467,3.859840685
Tbx21,3.274922713,3.378990724,4.49637785669621,3.99668040007469,4.594356424
Zap70,3.9542,5.1461,5.2041,5.6335,5.21981684073857
Zfp287,5.154197908,4.946215572,5.49202553,4.829913112,4.603548417
Zfp316,5.440736819,5.123926475,4.535058378,4.4920834,4.383890904
