Gene,DN1,DN2,DN3a,DN3b,DN4,DN1,DN2,DN3a,DN3b,DN4
Bcl11b,-4.901417483,-1.70457827,-1.209790628,-1.628850208,-1.571241131,2.098582517,5.29542173,5.790209372,5.371149792,5.428758869
CD3e,-3.6198,-0.5528,0.1461,-0.2518,-3.12858421210162,3.3802,6.4472,7.1461,6.7482,3.87141578789838
CD3g,-4.3098,0.0414,0.2553,0.0414,-0.00716402209867,2.6902,7.0414,7.2553,7.0414,6.99283597790133
C/EBPa,-2.642584137,-4.89677159,-4.057723251,-4.095819577,-4.395944287,4.357415863,2.10322841,2.942276749,2.904180423,2.604055713
Erg,-1.277620671,-1.462062637,-1.640000352,-3.15734912,-5.220125767,5.722379329,5.537937363,5.359999648,3.84265088,1.779874233
Etv6,-0.678300429,-1.03371127,-0.925461955,-1.356600858,-1.436510224,6.321699571,5.96628873,6.074538045,5.643399142,5.563489776
Gata2,-1.807252513,-2.783819295,-2.84374148271093,-3.4113232921307,-4.022414462,5.192747487,4.216180705,4.15625851728907,3.5886767078693,2.977585538
HEBalt,-4.901417483,-1.747320489,-1.343592357,-1.949416849,-2.398210147,2.098582517,5.252679511,5.656407643,5.050583151,4.601789853
Ikzf3,-1.882515985,-2.747581327,-1.312000282,-0.567728167,-0.217427809,5.117484015,4.252418673,5.687999718,6.432271833,6.782572191
IL2Rb,-2.8539,-2.301,-3.699,-2.4318,-6.46448305481785,4.1461,4.699,3.301,4.5682,0.53551694518215
Lck,-1.1249,-0.2518,-0.0088,-0.1367,-0.42895028398489,5.8751,6.7482,6.9912,6.8633,6.57104971601511
pTa,-3.7212,-1.3098,-0.1739,-0.699,-1.86350264860225,3.2788,5.6902,6.8261,6.301,5.13649735139775
Mitf,-4.315105743,-2.323875853,-2.321088317,-2.350822035,-2.873949626,2.684894257,4.676124147,4.678911683,4.649177965,4.126050374
Rag1,-2.0506,-0.8861,0.6021,-0.3279,-0.8665577810702,4.9494,6.1139,7.6021,6.6721,6.1334422189298
Scl,-2.06,-2.569,-4.301,-4.523,-5.523,4.94,4.431,2.699,2.477,1.477
Sfpi1,-0.296407996,-0.752634723,-2.029326215,-2.692759785,-3.777111293,6.703592004,6.247365277,4.970673785,4.307240215,3.222888707
Tbx21,-3.589417202,-3.846799693,-2.62681819791803,-3.15110433111808,-2.41028947,3.410582798,3.153200307,4.37318180208197,3.84889566888192,4.58971053
Zap70,-3.699,-2.0177,-1.6383,-1.3468,-1.75663781907349,3.301,4.9823,5.3617,5.6532,5.24336218092651
Zfp287,-2.055594468,-1.842470754,-1.461677214,-1.986185146,-4.387857924,4.944405532,5.157529246,5.538322786,5.013814854,2.612142076
Zfp316,-1.815127349,-2.054698275,-2.53872835,-2.67472833,-5,5.184872651,4.945301725,4.46127165,4.32527167,2
