Gene,DN1,DN2,DN3a,DN3b,DN4
Atxn2l,-1.477394085,-1.318504533,-0.956124851,-1.244634828,-1.577745381
Bcl11b,-4.901417483,-1.70457827,-1.209790628,-1.628850208,-1.571241131
Ccdc88c,-0.773436153,-1.000863782,-0.797790018,-1.143584046,-1.113128543
Cebpb,-2.937133775,-3.427275524,-4.150641118,-4.330437191,-3.563864788
Dtx1,-2.363830536,-2.24210813,-0.771218296,-1.615841707,-2.866516196
Elf4,-0.400476007,-0.609541207,-0.566798989,-0.599320242,-0.563082274
Erg,-1.277620671,-1.462062637,-1.640000352,-3.15734912,-5.220125767
Esr1,-1.635361939,-1.654343154,-1.328804106,-2.02481849,-1.94159651
Ets1,-0.800952013,-0.419988759,-0.045529755,0.06318415,-0.016725216
Ets2,-2.352680392,-2.547807913,-1.4811108,-1.68367175,-1.621416779
Etv6,-0.678300429,-1.03371127,-0.925461955,-1.356600858,-1.436510224
Foxp1,-0.997008713,-1.419320418,-0.988646105,-1.437439402,-1.23673681
Gata3,-1.32864373,-0.987225576,-0.838094351,-0.739660136,-1.312007994
Gfi1,-1.133597977,-1.13173962,-1.030459145,-1.102935081,-1.143818943
Gfi1b,-0.85205684,-1.053688612,-2.059059932,-2.375909859,-2.073926791
HEBalt,-4.901417483,-1.747320489,-1.343592357,-1.949416849,-2.398210147
Id1,-3.773394578,-2.755479345,-2.513892891,-3.56990445,-2.152442389
Id2,-2.148261085,-2.258833346,-2.335955176,-2.733643647,-3.463978081
Id3,-3.156419941,-3.01053889,-2.248612381,-1.752430971,-2.634221529
Ikzf1,-0.361450503,-0.564940631,-0.531490199,-0.221144523,-0.675512893
Ikzf2,-0.787014333,-0.475739479,-0.618832994,-0.572374061,-0.666221106
Ikzf3,-1.882515985,-2.747581327,-1.312000282,-0.567728167,-0.217427809
Ikzf4,-2.140051466,-2.488613192,-1.679863883,-2.484320293,-2.900668437
Klf13,-0.739164698,-0.82720447,-0.538947044,-0.679160941,-0.435364807
Lef1,-1.999127908,-1.931762455,0.065971686,0.042742219,-0.697348592
Myst3,-0.58241746,-0.703474574,-0.530608687,-0.703660038,-0.755803036
Nfe2,-2.241178952,-2.179853159,-2.082289399,-2.181711517,-2.160804997
Pou6f1,-3.505791121,-2.860941124,-1.446731189,-1.584249632,-1.344521535
Rnf149,-1.316247929,-1.55475174,-1.541762008,-1.615641933,-1.960891927
Runx1,-0.249019884,-0.087342795,0.419988759,-0.173756411,-1.329654677
Runx2,-0.567404441,-0.878750099,-1.082422997,-1.636658375,-2.274783627
Runx3,-0.303841425,-0.511048268,-0.632770674,-1.150323193,-2.009813463
Sbf1,-0.413051604,-0.51773724,-0.363171713,-0.538665131,-0.426846376
Sfpi1,-0.296407996,-0.752634723,-2.029326215,-2.692759785,-3.777111293
SpiB-1,-3.505791121,-3.299513457,-1.975433852,-3.947150989,-3.346901569
Tcf12,-0.685733858,-0.571444882,-0.116147334,-0.096634582,-0.171898054
Tcf7,-0.05575072,0.360521324,0.540781986,0.752634723,0.798164477
Tcfe2a,-0.380034076,-0.484102087,-0.662504392,-0.458085084,-0.341008572
Thrap3,-1.604138051,-2.203004854,-2.608157696,-2.407471828,-1.956778082
Tsc22d1,-0.690971824,-1.386933896,-1.434939354,-1.92254779,-1.590227224
Unk,-0.873946617,-1.088570165,-0.915163403,-0.97986899,-0.823662069
Zbtb7a,-2.641654958,-2.498561443,-1.974504673,-2.322946675,-2.436771062
