Gene	DN1	DN2	DN3a	DN3b	DN4
Bcl11b	-4.901417483	-1.70457827	-1.209790628	-1.628850208	-1.571241131
CD3e	-3.6198	-0.5528	0.1461	-0.2518	-3.12858421210162
CD3g	-4.3098	0.0414	0.2553	0.0414	-0.00716402209867
C/EBPa	-2.642584137	-4.89677159	-4.057723251	-4.095819577	-4.395944287
Erg	-1.277620671	-1.462062637	-1.640000352	-3.15734912	-5.220125767
Etv6	-0.678300429	-1.03371127	-0.925461955	-1.356600858	-1.436510224
Gata2	-1.807252513	-2.783819295	-2.84374148271093	-3.4113232921307	-4.022414462
HEBalt	-4.901417483	-1.747320489	-1.343592357	-1.949416849	-2.398210147
Ikzf3	-1.882515985	-2.747581327	-1.312000282	-0.567728167	-0.217427809
IL2Rb	-2.8539	-2.301	-3.699	-2.4318	-6.46448305481785
Lck	-1.1249	-0.2518	-0.0088	-0.1367	-0.42895028398489
pTa	-3.7212	-1.3098	-0.1739	-0.699	-1.86350264860225
Mitf	-4.315105743	-2.323875853	-2.321088317	-2.350822035	-2.873949626
Rag1	-2.0506	-0.8861	0.6021	-0.3279	-0.8665577810702
Scl	-2.06	-2.569	-4.301	-4.523	-5.523
Sfpi1	-0.296407996	-0.752634723	-2.029326215	-2.692759785	-3.777111293
Tbx21	-3.589417202	-3.846799693	-2.62681819791803	-3.15110433111808	-2.41028947
Zap70	-3.699	-2.0177	-1.6383	-1.3468	-1.75663781907349
Zfp287	-2.055594468	-1.842470754	-1.461677214	-1.986185146	-4.387857924
Zfp316	-1.815127349	-2.054698275	-2.53872835	-2.67472833	-5
